Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q865S3	ARHG2_CANLF	reviewed	Rho guanine nucleotide exchange factor 2 (Guanine nucleotide exchange factor H1) (GEF-H1) (Tight junction-associated guanine nucleotide exchange factor isoform A)	ARHGEF2	Canis lupus familiaris (Dog) (Canis familiaris)	986
Q9TTY2	FER_CANLF	reviewed	Tyrosine-protein kinase Fer (EC 2.7.10.2) (Proto-oncogene c-Fer) (p94-Fer)	FER	Canis lupus familiaris (Dog) (Canis familiaris)	823
O97799	KIT_CANLF	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	KIT	Canis lupus familiaris (Dog) (Canis familiaris)	979
Q28350	MYC_CANLF	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Canis lupus familiaris (Dog) (Canis familiaris)	439
Q28923	YES_CANLF	reviewed	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Canis lupus familiaris (Dog) (Canis familiaris)	539
Q75ZY9	MET_CANLF	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Canis lupus familiaris (Dog) (Canis familiaris)	1382
Q6Q7I7	PDGFB_CANLF	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide)	PDGFB	Canis lupus familiaris (Dog) (Canis familiaris)	242
P61007	RAB8A_CANLF	reviewed	Ras-related protein Rab-8A (Oncogene c-mel)	RAB8A MEL RAB8	Canis lupus familiaris (Dog) (Canis familiaris)	207
P24406	RHOA_CANLF	reviewed	Transforming protein RhoA (Rho1)	RHOA ARHA RHO1	Canis lupus familiaris (Dog) (Canis familiaris)	193
Q28317	KIT_CAPHI	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	KIT	Capra hircus (Goat)	978
P12825	RASN_CAVPO	reviewed	GTPase NRas (Transforming protein N-Ras)	NRAS	Cavia porcellus (Guinea pig)	189
Q1A1A6	FOXG1_CEBCA	reviewed	Forkhead box protein G1 (FoxG1)	FOXG1	Cebus capucinus (White-faced sapajou)	489
Q1A1A1	FOXG1_CERSI	reviewed	Forkhead box protein G1 (FoxG1)	FOXG1	Ceratotherium simum (White rhinoceros) (Square-lipped rhinoceros)	486
Q2IBA6	MET_CHLAE	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	1381
P10650	MOS_CHLAE	reviewed	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	346
Q1A1A5	FOXG1_CHLPG	reviewed	Forkhead box protein G1 (FoxG1)	FOXG1	Chlorocebus pygerythrus (Vervet monkey) (Cercopithecus pygerythrus)	489
Q07DZ1	MET_COLGU	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey)	1381
P34908	BRAF_COTJA	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (Proto-oncogene c-Rmil) (Serine/threonine-protein kinase Rmil)	BRAF RMIL	Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)	807
P12981	JUN_COTJA	reviewed	Transcription factor AP-1 (Proto-oncogene c-Jun)	JUN	Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)	313
P42642	NOV_COTJA	reviewed	Protein NOV (CCN family member 3) (Nephroblastoma-overexpressed gene protein)	NOV CCN3	Coturnix coturnix japonica (Japanese quail) (Coturnix japonica)	353
Q9Z2Q8	FOS_CRIGR	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	FOS	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	381
P79702	FOS_CYPCA	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	fos	Cyprinus carpio (Common carp)	347
Q6EWH2	FYNA_DANRE	reviewed	Tyrosine-protein kinase fyna (EC 2.7.10.2) (Proto-oncogene c-Fyna)	fyna fyn	Danio rerio (Zebrafish) (Brachydanio rerio)	537
F1RDG9	FYNB_DANRE	reviewed	Tyrosine-protein kinase fynb (EC 2.7.10.2) (Proto-oncogene c-Fynb)	fynb	Danio rerio (Zebrafish) (Brachydanio rerio)	544
Q7ZVS9	MYCB_DANRE	reviewed	Transcriptional regulator Myc-B (c-Myc-B)	mycb zgc:55680	Danio rerio (Zebrafish) (Brachydanio rerio)	396
P52160	MYCA_DANRE	reviewed	Transcriptional regulator Myc-A (c-Myc-A) (zc-Myc)	myca cmyc myc	Danio rerio (Zebrafish) (Brachydanio rerio)	408
Q9YHZ5	PIM2_DANRE	reviewed	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Kinase pim-1)	pim2 pim1 si:dkey-83k24.1	Danio rerio (Zebrafish) (Brachydanio rerio)	310
Q07E48	MET_DASNO	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Dasypus novemcinctus (Nine-banded armadillo)	1381
P08630	BTKL_DROME	reviewed	Tyrosine-protein kinase Btk29A (EC 2.7.10.2) (Dsrc28C) (Dsrc29a)	Btk29A Src2 Src29A Tec29 CG8049	Drosophila melanogaster (Fruit fly)	786
P00528	SRC64_DROME	reviewed	Tyrosine-protein kinase Src64B (Dsrc64) (EC 2.7.10.2)	Src64B Src1 CG7524	Drosophila melanogaster (Fruit fly)	552
Q45VV3	YAP1_DROME	reviewed	Transcriptional coactivator yorkie (Protein yorkie) (Transcriptional coactivator YAP1 homolog)	yki CG4005	Drosophila melanogaster (Fruit fly)	395
A1X150	MET_ECHTE	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Echinops telfairi (Lesser hedgehog tenrec)	1380
Q1A1A3	FOXG1_EPOGA	reviewed	Forkhead box protein G1 (FoxG1)	FOXG1	Epomophorus gambianus (Gambian epauletted fruit bat)	485
Q1A1A2	FOXG1_EQUBU	reviewed	Forkhead box protein G1 (FoxG1)	FOXG1	Equus burchelli (Plains zebra) (Equus quagga)	488
Q9TUG2	SKI_HORSE	reviewed	Ski oncogene (Proto-oncogene c-Ski)	SKI	Equus caballus (Horse)	730
Q2QLA9	MET_HORSE	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Equus caballus (Horse)	1381
Q2IBG7	MET_EULMM	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Eulemur macaco macaco (Black lemur)	1382
Q9TST0	BMI1_FELCA	reviewed	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4)	BMI1 BMI-1 PCGF4	Felis catus (Cat) (Felis silvestris catus)	326
P13369	CSF1R_FELCA	reviewed	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	Felis catus (Cat) (Felis silvestris catus)	980
P14238	FES_FELCA	reviewed	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Proto-oncogene c-Fes)	FES FPS	Felis catus (Cat) (Felis silvestris catus)	820
Q8HZP6	FOS_FELCA	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	FOS	Felis catus (Cat) (Felis silvestris catus)	381
Q28889	KIT_FELCA	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	KIT	Felis catus (Cat) (Felis silvestris catus)	978
P68271	MYC_FELCA	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Felis catus (Cat) (Felis silvestris catus)	439
A0M8S8	MET_FELCA	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Felis catus (Cat) (Felis silvestris catus)	1382
P12919	PDGFB_FELCA	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis)	PDGFB SIS	Felis catus (Cat) (Felis silvestris catus)	245
Q95LJ0	PIM1_FELCA	reviewed	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	Felis catus (Cat) (Felis silvestris catus)	313
Q9MZU0	MYC_GALVR	reviewed	Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64)	MYC	Galeopterus variegatus (Malayan flying lemur) (Cynocephalus variegatus)	439
Q04982	BRAF_CHICK	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (Proto-oncogene c-Rmil) (Serine/threonine-protein kinase Rmil)	BRAF RMIL	Gallus gallus (Chicken)	806
Q04929	CRK_CHICK	reviewed	Adapter molecule crk (Proto-oncogene c-Crk) (p38)	CRK	Gallus gallus (Chicken)	305
Q05876	FYN_CHICK	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene c-Fyn) (p59-Fyn)	FYN	Gallus gallus (Chicken)	534
P55878	GLI1_CHICK	reviewed	Zinc finger protein GLI1 (GLI) (Fragment)	GLI1 GLI	Gallus gallus (Chicken)	556
P13474	ETS1A_CHICK	reviewed	Transforming protein p54/c-ets-1	ETS1	Gallus gallus (Chicken)	441
P15062	ETS1B_CHICK	reviewed	Transforming protein p68/c-ets-1	ETS1	Gallus gallus (Chicken)	485
P10157	ETS2_CHICK	reviewed	Protein C-ets-2	ETS2	Gallus gallus (Chicken)	479
P18625	FOSL2_CHICK	reviewed	Fos-related antigen 2 (FRA-2)	FOSL2 FRA-2	Gallus gallus (Chicken)	323
Q90964	FOXG1_CHICK	reviewed	Forkhead box protein G1 (FoxG1) (Brain factor 1) (BF-1) (BF1) (cBF-1) (CEQ 3-1) (Forkhead-related protein FKHL1) (N-62-5) (Proto-oncogene C-QIN)	FOXG1 FKHL1 FOXG1B QIN	Gallus gallus (Chicken)	451
P11939	FOS_CHICK	reviewed	Proto-oncogene c-Fos (Cellular oncogene fos)	FOS	Gallus gallus (Chicken)	367
P18870	JUN_CHICK	reviewed	Transcription factor AP-1 (Proto-oncogene c-Jun)	JUN	Gallus gallus (Chicken)	314
P01103	MYB_CHICK	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB	Gallus gallus (Chicken)	641
P18444	MYCN_CHICK	reviewed	N-myc proto-oncogene protein	MYCN	Gallus gallus (Chicken)	441
P01109	MYC_CHICK	reviewed	Myc proto-oncogene protein (c-Myc)	MYC	Gallus gallus (Chicken)	416
P49140	SKI_CHICK	reviewed	Ski oncogene (Proto-oncogene c-Ski)	SKI	Gallus gallus (Chicken)	750
P08941	ROS1_CHICK	reviewed	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1	Gallus gallus (Chicken)	2311
P00523	SRC_CHICK	reviewed	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC	Gallus gallus (Chicken)	533
P04625	THA_CHICK	reviewed	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1)	THRA NR1A1	Gallus gallus (Chicken)	408
P46936	YAP1_CHICK	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (65 kDa Yes-associated protein) (YAP65) (Protein yorkie homolog)	YAP1 YAP65	Gallus gallus (Chicken)	448
Q02977	YRK_CHICK	reviewed	Proto-oncogene tyrosine-protein kinase Yrk (EC 2.7.10.2) (Yes-related kinase) (p60-Yrk)	YRK	Gallus gallus (Chicken)	536
Q08156	KIT_CHICK	reviewed	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit)	KIT	Gallus gallus (Chicken)	960
P42683	LCK_CHICK	reviewed	Proto-oncogene tyrosine-protein kinase LCK (EC 2.7.10.2) (Protein-tyrosine kinase C-TKL) (p56tk1)	LCK	Gallus gallus (Chicken)	508
P28686	NOV_CHICK	reviewed	Protein NOV (CCN family member 3) (Nephroblastoma-overexpressed gene protein)	NOV CCN3	Gallus gallus (Chicken)	351
Q58NQ5	PLAG1_CHICK	reviewed	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	PLAG1	Gallus gallus (Chicken)	501
P05625	RAF1_CHICK	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (C-MIL) (C-RAF) (MIL proto-oncogene serine/threonine-protein kinase) (RAF-1)	RAF1 MIL	Gallus gallus (Chicken)	647
P08642	RASH_CHICK	reviewed	GTPase HRas (H-Ras-1) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Gallus gallus (Chicken)	189
Q5F470	RAB8A_CHICK	reviewed	Ras-related protein Rab-8A	RAB8A RCJMB04_2k8	Gallus gallus (Chicken)	207
P16236	REL_CHICK	reviewed	Proto-oncogene c-Rel (p68)	REL	Gallus gallus (Chicken)	598
Q2IBF2	MET_GORGO	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Gorilla gorilla gorilla (Western lowland gorilla)	1390
A1YF19	PTTG1_GORGO	reviewed	Securin (Pituitary tumor-transforming gene 1 protein)	PTTG1	Gorilla gorilla gorilla (Western lowland gorilla)	202
Q13015	AF1Q_HUMAN	reviewed	Protein AF1q	MLLT11 AF1Q	Homo sapiens (Human)	90
P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
Q9NQ31	AKIP1_HUMAN	reviewed	A-kinase-interacting protein 1 (Breast cancer-associated gene 3 protein) (PKA-interacting protein) (Proline-rich protein BCA3)	AKIP1 BCA3 C11orf17	Homo sapiens (Human)	210
P55197	AF10_HUMAN	reviewed	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068
P55196	AFAD_HUMAN	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
O95994	AGR2_HUMAN	reviewed	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	AGR2 AG2 UNQ515/PRO1030	Homo sapiens (Human)	175
P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480
Q9UM73	ALK_HUMAN	reviewed	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	ALK	Homo sapiens (Human)	1620
P51825	AFF1_HUMAN	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210
Q9UHB7	AFF4_HUMAN	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)	1163
Q96K21	ANCHR_HUMAN	reviewed	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	Homo sapiens (Human)	471
P55198	AF17_HUMAN	reviewed	Protein AF-17 (ALL1-fused gene from chromosome 17 protein)	MLLT6 AF17	Homo sapiens (Human)	1093
P42568	AF9_HUMAN	reviewed	Protein AF-9 (ALL1-fused gene from chromosome 9 protein) (Myeloid/lymphoid or mixed-lineage leukemia translocated to chromosome 3 protein) (YEATS domain-containing protein 3)	MLLT3 AF9 YEATS3	Homo sapiens (Human)	568
Q9NZN5	ARHGC_HUMAN	reviewed	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	ARHGEF12 KIAA0382 LARG	Homo sapiens (Human)	1544
Q7Z628	ARHG8_HUMAN	reviewed	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)	NET1 ARHGEF8	Homo sapiens (Human)	596
Q12774	ARHG5_HUMAN	reviewed	Rho guanine nucleotide exchange factor 5 (Ephexin-3) (Guanine nucleotide regulatory protein TIM) (Oncogene TIM) (Transforming immortalized mammary oncogene) (p60 TIM)	ARHGEF5 TIM	Homo sapiens (Human)	1597
P10398	ARAF_HUMAN	reviewed	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	606
P31751	AKT2_HUMAN	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
Q12802	AKP13_HUMAN	reviewed	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	Homo sapiens (Human)	2813
Q9BZE9	ASPC1_HUMAN	reviewed	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein) (Alveolar soft part sarcoma locus) (Renal papillary cell carcinoma protein 17) (UBX domain-containing protein 9)	ASPSCR1 ASPL RCC17 TUG UBXD9 UBXN9	Homo sapiens (Human)	553
Q9H6U6	BCAS3_HUMAN	reviewed	Breast carcinoma-amplified sequence 3 (GAOB1)	BCAS3	Homo sapiens (Human)	928
O14965	AURKA_HUMAN	reviewed	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6	Homo sapiens (Human)	403
O00512	BCL9_HUMAN	reviewed	B-cell CLL/lymphoma 9 protein (B-cell lymphoma 9 protein) (Bcl-9) (Protein legless homolog)	BCL9	Homo sapiens (Human)	1426
Q8TDM0	BCAS4_HUMAN	reviewed	Breast carcinoma-amplified sequence 4	BCAS4	Homo sapiens (Human)	211
P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
